plate,well,control,gene_symbol,score_k_corr_perc_mean_HCT116,score_k_corr_perc_mean_RPE1,score_spots_number_mean_HCT116,score_spots_number_mean_RPE1,score_area_mean_HCT116,score_area_mean_RPE1,score_cell_n_HCT116,score_cell_n_RPE1,score_radial_dist_mean_mean_HCT116,score_radial_dist_mean_mean_RPE1,raw_repeat_1_area_mean_HCT116,raw_repeat_1_area_mean_RPE1,raw_repeat_1_cell_n_HCT116,raw_repeat_1_cell_n_RPE1,raw_repeat_1_k_corr_perc_mean_HCT116,raw_repeat_1_k_corr_perc_mean_RPE1,raw_repeat_1_radial_dist_mean_mean_HCT116,raw_repeat_1_radial_dist_mean_mean_RPE1,raw_repeat_1_spots_number_mean_HCT116,raw_repeat_1_spots_number_mean_RPE1,raw_repeat_2_area_mean_HCT116,raw_repeat_2_area_mean_RPE1,raw_repeat_2_cell_n_HCT116,raw_repeat_2_cell_n_RPE1,raw_repeat_2_k_corr_perc_mean_HCT116,raw_repeat_2_k_corr_perc_mean_RPE1,raw_repeat_2_radial_dist_mean_mean_HCT116,raw_repeat_2_radial_dist_mean_mean_RPE1,raw_repeat_2_spots_number_mean_HCT116,raw_repeat_2_spots_number_mean_RPE1,ratio_repeat_1_area_mean_HCT116,ratio_repeat_1_area_mean_RPE1,ratio_repeat_1_cell_n_HCT116,ratio_repeat_1_cell_n_RPE1,ratio_repeat_1_k_corr_perc_mean_HCT116,ratio_repeat_1_k_corr_perc_mean_RPE1,ratio_repeat_1_radial_dist_mean_mean_HCT116,ratio_repeat_1_radial_dist_mean_mean_RPE1,ratio_repeat_1_spots_number_mean_HCT116,ratio_repeat_1_spots_number_mean_RPE1,ratio_repeat_2_area_mean_HCT116,ratio_repeat_2_area_mean_RPE1,ratio_repeat_2_cell_n_HCT116,ratio_repeat_2_cell_n_RPE1,ratio_repeat_2_k_corr_perc_mean_HCT116,ratio_repeat_2_k_corr_perc_mean_RPE1,ratio_repeat_2_radial_dist_mean_mean_HCT116,ratio_repeat_2_radial_dist_mean_mean_RPE1,ratio_repeat_2_spots_number_mean_HCT116,ratio_repeat_2_spots_number_mean_RPE1,norm_repeat1_area_mean_HCT116,norm_repeat1_area_mean_RPE1,norm_repeat1_cell_n_HCT116,norm_repeat1_cell_n_RPE1,norm_repeat1_k_corr_perc_mean_HCT116,norm_repeat1_k_corr_perc_mean_RPE1,norm_repeat1_radial_dist_mean_mean_HCT116,norm_repeat1_radial_dist_mean_mean_RPE1,norm_repeat1_spots_number_mean_HCT116,norm_repeat1_spots_number_mean_RPE1,norm_repeat2_area_mean_HCT116,norm_repeat2_area_mean_RPE1,norm_repeat2_cell_n_HCT116,norm_repeat2_cell_n_RPE1,norm_repeat2_k_corr_perc_mean_HCT116,norm_repeat2_k_corr_perc_mean_RPE1,norm_repeat2_radial_dist_mean_mean_HCT116,norm_repeat2_radial_dist_mean_mean_RPE1,norm_repeat2_spots_number_mean_HCT116,norm_repeat2_spots_number_mean_RPE1,sd_cell_n_HCT116,sd_cell_n_RPE1,sd_k_area_mean_HCT116,sd_k_area_mean_RPE1,sd_k_corr_perc_mean_HCT116,sd_k_corr_perc_mean_RPE1,sd_radial_dist_mean_mean_HCT116,sd_radial_dist_mean_mean_RPE1,sd_spots_number_mean_HCT116,sd_spots_number_mean_RPE1
1,J02,sample,POLE,2.54,0.32,-0.37,-8.12,7.99,3.47,-0.49,-1.77,-1.3,2.52,156.11513901204,215.735779291696,663,202,62.3702865761689,52.6584158415842,0.50474932920441,0.548451017639347,32.8883861236802,23.4207920792079,139.657658933863,185.503526011615,288,651,64.5694444444444,40.3049155145929,0.499119884234145,0.540270183098905,30.2118055555556,26.8678955453149,1.27,1.19,0.795,0.584,1.06,0.99,0.986,1.08,1,0.728,1.22,1.1,0.828,0.789,1.09,1.09,0.994,1.01,0.971,0.851,11.408,4.146,-0.88,-1.581,2.808,0.019,-2.004,3.976,-0.001,-7.593,4.567,2.79,-0.101,-1.957,2.28,0.627,-0.589,1.057,-0.735,-8.643,0.5508361825443205,0.2658721497261419,4.837317490097171,0.9588367952889584,0.3733523804664971,0.42992092296142087,1.0005560953789647,2.0640446942835324,0.5190163773909259,0.7424621202458754
2,O13,sample,NUP85,2.15,0.78,-4.38,-5.05,-5.7,-0.12,-0.14,0,1.09,0.32,105.462286595584,168.237935348601,780,418,58.5307692307692,57.1650717703349,0.528498916306044,0.501699716632439,33.0589743589744,29.078947368421,98.5088201957366,160.646286657311,824,937,61.9332524271845,39.6953041622199,0.517951229590903,0.5326916717828,29.4793689320388,29.8046958377801,0.86,0.961,0.968,1.08,1.02,1.1,1.01,0.984,0.925,0.9,0.812,0.97,1.03,1.08,1.04,1.08,1.03,0.997,0.904,0.938,-5.051,0.086,-0.676,-0.007,1.551,0.412,0.718,-0.178,-3.452,-4.864,-6.341,-0.329,0.39,-0.002,2.749,1.147,1.456,0.809,-5.31,-5.241,0.7537758287448597,0.00353553390593273,0.9121677477306462,0.2934493141924172,0.8471139238614841,0.5197234841721124,0.5218448045156721,0.6979143930311225,1.3138043994446051,0.2665792565073283
1,G05,sample,RAD51,1.71,0.73,-3.45,-5.41,6.33,7.43,-0.6,-1.63,1.33,2.28,149.217681701502,244.300396094803,486,143,61.9845679012346,52.2062937062937,0.524721126055948,0.552099494727814,29.0761316872428,24.7762237762238,148.572120883478,211.057953594287,344,472,63.5116279069767,43.6016949152542,0.508008227517737,0.541196063677304,26.7674418604651,28.7266949152542,1.22,1.35,0.583,0.413,1.05,0.982,1.03,1.08,0.884,0.77,1.3,1.25,0.989,0.572,1.08,1.18,1.01,1.01,0.86,0.91,7.381,7.218,-2.25,-0.588,2.038,-1.055,2.402,3.921,-4.429,-6.192,5.273,7.633,1.059,-2.673,1.388,2.508,0.25,0.63,-2.473,-4.628,2.3398163389462856,1.4743176387739516,1.4905810947412426,0.2934493141924172,0.4596194077712558,2.519421461367669,1.5216937931134504,2.3270884168849277,1.3831008640008873,1.1059150057757603
3,K14,sample,RPA2,1.68,2.06,-2.75,-5.64,16.38,1.15,-3.38,-0.63,0.46,1.07,174.389105595153,180.881386834915,311,166,57.8971061093248,56.0240963855422,0.528249390616085,0.539206241249646,35.8488745980707,25.2168674698795,176.582393492194,185.368930229151,471,682,62.8375796178344,39.2368035190616,0.505741163374772,0.53217202170624,28.4585987261147,28.9780058651026,1.4,1.02,0.398,0.431,1.02,1.07,1.01,1.06,0.993,0.772,1.44,1.09,0.535,0.879,1.05,1.05,1,0.999,0.861,0.923,14.937,0.443,-3.057,-0.883,1.487,2.323,0.741,3.168,-0.926,-7.626,17.819,1.847,-3.697,-0.385,1.882,1.802,0.173,-1.031,-4.566,-3.663,0.45254833995939053,0.3521391770309007,2.0378817433796295,0.9927779207859126,0.27930717856868614,0.3684026329981912,0.401636651713959,2.969141374202313,2.5738686835190325,2.802264173842288
2,O11,sample,NUP160,1.51,0.58,-8.5,-7.37,-9.27,-0.4,-2.99,-2.38,3.1,2.34,98.5709777693352,162.495921359766,550,222,58.18,54.9391891891892,0.526342723501088,0.528054402041583,29.3672727272727,26.2207207207207,82.2353055192054,167.419263807995,432,696,61.2141203703704,39.066091954023,0.538140532142171,0.535990264279324,24.1944444444444,28.9956896551724,0.804,0.928,0.683,0.574,1.01,1.06,1.01,1.04,0.822,0.811,0.678,1.01,0.542,0.801,1.03,1.06,1.07,1,0.742,0.913,-7.426,-1.491,-3.233,-2.338,0.976,0.381,0.346,3.411,-6.831,-7.975,-11.119,0.684,-2.755,-2.414,2.045,0.776,5.864,1.277,-10.162,-6.759,0.33799704140716985,0.05374011537017766,2.61134534292192,1.537957249080741,0.7558971490884193,0.2793071785686863,3.901815218587369,1.5089658710520926,2.35537268813239,0.8598418459228413
4,B18,sample,SMC4,0.9,3.06,-3.17,-5.84,-0.29,3.74,-1.39,-1.79,2.57,-1.39,125.066253010176,179.060173170631,544,113,60.5643382352941,53.8805309734513,0.534165118819381,0.51528795289147,28.8161764705882,24.7345132743363,126.430653969934,205.428372799501,762,416,61.2047244094488,49.7860576923077,0.517902814384095,0.51528757776107,29.503937007874,26.9615384615385,1,1.08,0.697,0.483,1.05,1.01,1.03,1,0.856,0.779,1.04,1.21,0.81,0.545,1.04,1.32,1.02,0.969,0.896,0.851,-0.824,2.247,-1.479,-0.473,0.522,-0.007,3.572,-0.075,-2.414,-4.614,0.234,5.226,-1.3,-3.111,1.272,6.118,1.576,-2.71,-3.917,-7.075,0.12657211383239203,1.8653476887701128,0.7481189744953672,2.106471101154725,0.5303300858899106,4.331029034767604,1.4113851352483489,1.8632263684265529,1.062781492123381,1.7401897885000936
3,O03,sample,RSF1,0.56,-1.35,-2.57,-6.04,0.05,3.22,-0.39,-3.22,-0.43,5.36,121.429192162997,190.855358189125,661,107,55.67776096823,48.3457943925234,0.526191446131454,0.564417643149979,34.9425113464448,26.8971962616822,119.85522329252,198.571255078954,677,397,60.0036927621861,37.712846347607,0.506252472280498,0.547466425759049,30.4017725258493,28.9445843828715,0.974,1.07,0.847,0.278,0.977,0.923,1,1.11,0.968,0.824,0.98,1.17,0.768,0.512,1,1.01,1,1.03,0.92,0.922,0,1.337,-0.745,-2.089,0.936,-2.01,-1.092,7.065,-2.012,-6.647,0.106,5.1,-0.028,-4.361,0.188,-0.69,0.232,3.66,-3.124,-5.432,0.5069955621107546,1.6065466068558358,0.07495331880577404,2.660842817604978,0.5289158723275376,0.9333809511662426,0.9362093782909888,2.4076985899401944,0.786302740679441,0.8591347391416552
1,O09,sample,CDK1,-0.64,0.26,-3.93,-9.1,6.59,5.26,-1.93,-4.06,6.47,6.1,148.809825522357,218.125837550043,375,113,56.82,50.1150442477876,0.554111355890845,0.5680567496827,29.6453333333333,23.9911504424779,146.04716694771,197.282807187812,258,309,57.7248062015504,41.7313915857605,0.551070052374316,0.555568204977568,26,26.0129449838188,1.21,1.21,0.45,0.327,0.962,0.942,1.08,1.11,0.901,0.746,1.28,1.17,0.741,0.374,0.978,1.13,1.1,1.04,0.835,0.824,9.016,4.634,-3.31,-2.554,-1.265,-1.72,7.807,7.51,-3.46,-8.065,4.17,5.877,-0.54,-5.571,-0.01,2.232,5.139,4.685,-4.396,-10.138,1.9586857838867369,2.133341158839814,3.4266394616300095,0.8789337290148782,0.8874190103891171,2.7944859992492357,1.8865608922057089,1.997576656851997,0.6618519471906085,1.4658323573997132
4,E07,sample,CDT1,-0.65,1.97,-6.29,-11.46,7.08,-1.86,-2.22,-0.47,2.85,5.21,156.286983408511,145.404943902964,355,148,58.0253521126761,51.7398648648649,0.546433516907487,0.58256619414329,28.8845070422535,16.2297297297297,151.026445678743,162.483575754651,397,505,53.8954659949622,43.0168316831683,0.536389660916306,0.557819568116435,26.5264483627204,21.8138613861386,1.25,0.873,0.455,0.632,1,0.971,1.05,1.13,0.858,0.511,1.24,0.953,0.422,0.661,0.915,1.14,1.06,1.05,0.805,0.689,7.704,-2.721,-2.344,-0.284,1.329,-0.031,3.017,4.585,-4.217,-9.911,6.448,-0.999,-2.105,-0.647,-2.623,3.98,2.683,5.836,-8.364,-13.01,0.1689985207035848,0.25667976157071676,0.8881261171703032,1.217637877203235,2.7944859992492357,2.8362052993392424,0.23617366491630692,0.8845905832643711,2.9323718215806136,2.19132391489711
4,L19,sample,NCL,-0.98,-3.07,-3.45,-1.71,-0.09,0.24,-1.44,-0.14,3.72,1.8,122.415356453345,181.378106725029,467,275,56.0192719486081,44.1527272727273,0.553819961791696,0.537203267837187,31.117773019272,29.4981818181818,123.404198139416,173.040424980663,775,615,57.4496774193548,33.9853658536585,0.523851617372621,0.543263974255774,29.8141935483871,30.1934959349594,0.982,1.09,0.598,1.18,0.969,0.829,1.07,1.04,0.925,0.929,1.01,1.02,0.824,0.805,0.975,0.898,1.03,1.02,0.905,0.953,-0.184,0.815,-1.906,-0.28,-1.091,-3.116,4.915,1.41,-3.772,-1.703,0,-0.342,-0.966,0,-0.868,-3.034,2.528,2.187,-3.127,-1.722,0.6646803743153546,0.19798989873223333,0.13010764773832473,0.8181225458328355,0.15768481220460007,0.05798275605729711,1.687863886692289,0.5494219689819474,0.4560838738653231,0.01343502884254433
3,O10,sample,WAPL,-1.27,1.37,4.74,4.84,-0.34,1.62,0.22,0.62,0.23,-2.3,121.622783747586,190.264642410161,758,388,52.5,55.909793814433,0.538052702415178,0.500914724767161,45.4828496042216,35.75,124.030272580834,175.897919999364,813,728,59.8646986469865,38.3413461538462,0.502723606378912,0.520204894438807,36.6629766297663,34.3214285714286,0.975,1.07,0.971,1.01,0.921,1.07,1.03,0.982,1.26,1.09,1.01,1.04,0.923,0.938,1,1.03,0.997,0.976,1.11,1.09,-1.149,2.565,-0.237,1.647,-2.559,1.779,1.267,-1.832,5.86,4.638,0.461,0.665,0.686,-0.4,0.013,0.959,-0.798,-2.778,3.611,5.041,0.6526595590351834,1.4474475810888627,1.1384419177103415,1.3435028842544403,1.8186786412118003,0.5798275605729689,1.4601755031502206,0.668923015002474,1.5902831508885455,0.284964032818179
1,J16,sample,TOP2A,-2.01,-3.11,7.57,-6.32,6.23,-1.15,-0.66,-1.74,6.25,7.86,151.365346120549,168.386612624425,496,167,56.1421370967742,43.0119760479042,0.552781748799458,0.588488556590414,41.5907258064516,24.2694610778443,148.515546462601,175.571726786417,417,486,56.9172661870504,35.570987654321,0.546666367064432,0.570381554896131,39.0863309352518,27.6440329218107,1.23,0.932,0.595,0.483,0.951,0.809,1.08,1.15,1.26,0.754,1.3,1.04,1.2,0.589,0.964,0.96,1.09,1.06,1.26,0.876,7.39,-2.434,-1.707,-0.964,-2.98,-4.714,7.804,7.321,9.225,-6.033,5.076,0.133,0.384,-2.513,-1.037,-1.513,4.702,8.406,5.911,-6.611,1.478560279461071,1.095308404057962,1.636245091665671,1.8151431073058677,1.3739084758454618,2.2634488065781393,2.1934452352406706,0.7672108575874046,2.3433518728522187,0.4087077195258241
2,F15,sample,RTF1,-2.29,0.56,-2.74,-2.71,-2.38,4.15,-0.89,-2.84,6.06,2.51,113.412655398932,218.167071923458,541,166,53.9260628465804,49.566265060241,0.559186573486885,0.546674147525723,31.8706099815157,30.289156626506,118.977698943095,181.464008351276,670,603,57.8298507462687,38.650912106136,0.532012550332363,0.52896797328278,30.565671641791,29.7694859038143,0.925,1.25,0.672,0.429,0.94,0.958,1.07,1.07,0.892,0.937,0.981,1.1,0.841,0.694,0.975,1.05,1.05,0.99,0.937,0.937,-3.627,4.876,-1.672,-2.84,-2.804,-0.26,6.794,5.992,-3.296,-1.579,-1.138,3.422,-0.11,-2.843,-1.785,1.375,5.32,-0.975,-2.177,-3.85,1.1045007922133872,0.00212132034355972,1.7599887783733168,1.0281332598452402,0.7205418100290919,1.1561195872400052,1.0422753954689703,4.926412944526676,0.7912524881477465,1.6058395000746497
